rel,format,fps,size,boneCount,frameSets,chunks,specialMissing,specialPresent
attachments/magazines/magazine_akm_drum.anm,5,30,1826,22,2,DATA:546,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_cmag_10rnd.anm,5,30,1876,22,2,DATA:596,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_cz527.anm,5,30,1816,22,2,DATA:536,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_cz550.anm,6,30,1867,22,2,DATA:732,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_cz61_20rnd.anm,5,30,1846,22,2,DATA:566,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_cz75.anm,5,30,1826,22,2,DATA:546,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_fal_20rnd.anm,5,30,1846,22,2,DATA:566,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_fnp45.anm,5,30,1836,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_glock19_15rnd.anm,5,30,1862,22,2,DATA:582,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_ij70.anm,5,30,1856,22,2,DATA:576,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_mk2.anm,5,30,1816,22,2,DATA:536,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_mp5_15rnd.anm,5,30,2024,22,2,DATA:744,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_mp5_30rnd.anm,5,30,2024,22,2,DATA:744,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_p1.anm,6,30,1865,22,2,DATA:730,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_pm73_15rnd.anm,5,30,1816,22,2,DATA:536,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_ruger1022_10rnd.anm,5,30,1836,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_ruger1022_30rnd.anm,5,30,1846,22,2,DATA:566,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_saiga_5rnd.anm,6,30,1691,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_saiga_8rnd.anm,6,30,1691,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_saiga_drum.anm,6,30,1671,22,2,DATA:536,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_ssg82.anm,6,30,1877,22,2,DATA:742,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/magazines/magazine_stanag30.anm,5,30,1856,22,2,DATA:576,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
